Product_Code,Cust_ID,IPC (Internal Product Code)
PLACKA-4/AFR/MS/RM/032-2.00 mm*30 mm-2.00mm,C_007,4/AFR/MS/RM/032-2.00 mm*30 mm-2.00mm
PLACKA-4/AFR/MS/RM/033-2.50 mm * 30 mm-2.50mm,C_007,4/AFR/MS/RM/033-2.50 mm * 30 mm-2.50mm
PLACKA-4/AFR/MS/RM/034-3.00 mm * 30 mm-3.00mm,C_007,4/AFR/MS/RM/034-3.00 mm * 30 mm-3.00mm
PLACKA-4/AFR/MS/RM/035-3.20 mm * 30 mm-3.20mm,C_007,4/AFR/MS/RM/035-3.20 mm * 30 mm-3.20mm
PLACKA-MAIN SPRING-5mm*45mm-5.00mm,C_007,MAIN SPRING-5mm*45mm-5.00mm
PLACKA-MAIN VALVE SPRING-0.9*17 mm-1.00mm,C_007,MAIN VALVE SPRING-0.9*17 mm-1.00mm
MURUGAPPA MORGAN-RESSORT SPRING-RE-08-95-1.00mm,C_008,RESSORT SPRING-RE-08-95-1.00mm
SOUTHERN RAILWAYS-CONICAL COMPRESSION SPRING-0-0.40mm,C_009,CONICAL COMPRESSION SPRING-0-0.40mm
AKT PUMPS-GOVERNOR PRESS TYPE-MIM-02-0.70mm,C_036,GOVERNOR PRESS TYPE-MIM-02-0.70mm
TM AUTOMOTIVE-CC21-STRAP(GR-3)-EIPA-21116-1.60mm,C_010,CC21-STRAP(GR-3)-EIPA-21116-1.60mm
TM AUTOMOTIVE-STRAP CLIP (HB WIRE)-E2RNH5-20145S-1.60mm,C_010,STRAP CLIP (HB WIRE)-E2RNH5-20145S-1.60mm
SGI AUTOMOTIVE-RECLINER HANDLE RETURN SPRING-EIPA-14102-1.60mm,C_011,RECLINER HANDLE RETURN SPRING-EIPA-14102-1.60mm
AMPS INDUSTRY-COMPRESSION SPRING-0.4X4X8X10.5-0.40mm,C_012,COMPRESSION SPRING-0.4X4X8X10.5-0.40mm
AVALON TECHNOLOGY-TORSION SPRING-1.00mm-1.00mm,C_013,TORSION SPRING-1.00mm-1.00mm
MANDO-TENSION SPRING-GM743100D3-2.20mm,C_014,TENSION SPRING-GM743100D3-2.20mm
FEAM TECH-TENSION SPRING-1.60mm-1.60mm,C_015,TENSION SPRING-1.60mm-1.60mm
APPASWAMY-WIRE SPRING-1.00mm-1.00mm,C_016,WIRE SPRING-1.00mm-1.00mm
I.MATICS-BLISTER SPRING-SS 0.90mm-0.90mm,C_017,BLISTER SPRING-SS 0.90mm-0.90mm
AVASARALA-VE10141-1.60mm,C_018,VE10141-1.60mm
DELFINGEN-F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm,C_019,F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm
DELFINGEN-F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm
DELFINGEN-F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm,C_019,F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm
DELFINGEN-F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm
DELFINGEN-F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm,C_019,F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm
DELFINGEN-F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm,C_019,F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm
DELFINGEN-F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm
